NF;Produto;Categoria;Valor;Quantidade;Total bruto;Forma de pagamento;Data da venda;Comissão;Data Vencimento;Vendedor Novo
1100;Calça;Seção Feminina;26,55;38;1008,9;À vista - boleto;02/01/2021;0,1;13/02/2021;1
1101;Vestido;Seção Feminina;21,34;17;362,78;Boleto - à prazo;02/01/2021;0,1;24/02/2021;0
1102;Sapato;Seção Masculina;44,21;58;2564,18;Dinheiro - À vista;02/01/2021;0,1;02/01/2021;0
1103;Vestido;Seção Feminina;26,1;13;339,3;À prazo - Cartão;03/01/2021;0,15;27/02/2021;1
1104;Sapato;Seção Feminina;21,2;67;1420,4;À vista - cartão;03/01/2021;0,1;19/02/2021;0
1105;Vestido;Seção Feminina;21;64;1344;À prazo - Cartão;03/01/2021;0,15;03/02/2021;1
1106;Sapato;Seção Masculina;21,2;27;572,4;Boleto - à prazo;04/01/2021;0,1;08/02/2021;1
1107;Vestido;Seção Feminina;44,21;2;88,42;À prazo - Cartão;05/01/2021;0,15;12/01/2021;1
1108;Vestido;Seção Masculina;44,21;5;221,05;Boleto - à prazo;05/01/2021;0,05;04/02/2021;1
1109;Vestido;Seção Masculina;26,55;6;159,3;À vista - boleto;05/01/2021;0,1;05/03/2021;1
1110;Vestido;Seção Feminina;44,21;97;4288,37;Boleto - à prazo;06/01/2021;0,15;11/02/2021;1
1111;Vestido;Seção Feminina;26,1;86;2244,6;À prazo - Cartão;06/01/2021;0,15;29/01/2021;1
1112;Vestido;Seção Masculina;26,55;31;823,05;Dinheiro - À vista;06/01/2021;0,05;06/01/2021;0
1113;Sapato;Seção Masculina;21;72;1512;À prazo - Cartão;07/01/2021;0,1;13/01/2021;1
1114;Calça;Seção Feminina;21,2;39;826,8;Boleto - à prazo;07/01/2021;0,15;25/01/2021;1
1115;Vestido;Seção Masculina;38,93;43;1673,99;À vista - boleto;07/01/2021;0,1;08/02/2021;1
1116;Sapato;Seção Feminina;26,55;85;2256,75;À vista - boleto;07/01/2021;0,1;11/02/2021;0
1117;Sapato;Seção Feminina;26,55;78;2070,9;Boleto - à prazo;08/01/2021;0,1;11/01/2021;1
1118;Casaco;Seção Feminina;44,21;59;2608,39;Boleto - à prazo;08/01/2021;0,15;23/02/2021;1
1119;Casaco;Seção Masculina;26,1;55;1435,5;À vista - cartão;08/01/2021;0,05;10/02/2021;0
1120;Vestido;Seção Masculina;26,55;56;1486,8;Boleto - à prazo;09/01/2021;0,15;11/01/2021;0
1121;Sapato;Seção Feminina;26,55;42;1115,1;Dinheiro - À vista;09/01/2021;0,15;09/01/2021;1
1122;Vestido;Seção Feminina;26,55;97;2575,35;Boleto - à prazo;10/01/2021;0,15;19/02/2021;0
1123;Tênis;Seção Masculina;21,34;94;2005,96;À prazo - Cartão;10/01/2021;0,1;17/02/2021;0
1124;Casaco;Seção Masculina;26,1;37;965,7;Boleto - à prazo;10/01/2021;0,1;03/03/2021;1
1125;Sapato;Seção Masculina;38,93;15;583,95;À vista - cartão;11/01/2021;0,1;26/02/2021;1
1126;Sapato;Seção Feminina;44,21;49;2166,29;Boleto - à prazo;12/01/2021;0,15;10/02/2021;1
1127;Casaco;Seção Feminina;26,55;47;1247,85;À prazo - Cartão;12/01/2021;0,1;05/02/2021;1
1128;Sapato;Seção Feminina;44,21;75;3315,75;Boleto - à prazo;13/01/2021;0,1;13/03/2021;0
1129;Casaco;Seção Masculina;21,34;97;2069,98;À vista - boleto;13/01/2021;0,15;17/02/2021;0
1130;Calça;Seção Masculina;44,21;100;4421;À prazo - Cartão;13/01/2021;0,1;09/02/2021;0
1131;Calça;Seção Masculina;21,2;62;1314,4;À prazo - Cartão;13/01/2021;0,1;18/01/2021;0
1132;Casaco;Seção Masculina;35,18;16;562,88;À prazo - Cartão;13/01/2021;0,15;05/02/2021;1
1133;Vestido;Seção Masculina;38,93;65;2530,45;À prazo - Cartão;15/01/2021;0,15;08/02/2021;0
1134;Vestido;Seção Masculina;38,93;93;3620,49;À vista - cartão;16/01/2021;0,1;19/01/2021;0
1135;Vestido;Seção Feminina;21,2;4;84,8;À vista - boleto;16/01/2021;0,1;26/02/2021;0
1136;Casaco;Seção Feminina;44,21;40;1768,4;Boleto - à prazo;17/01/2021;0,05;01/03/2021;1
1137;Casaco;Seção Feminina;44,21;17;751,57;Dinheiro - À vista;18/01/2021;0,15;18/01/2021;1
1138;Calça;Seção Feminina;21,2;9;190,8;Boleto - à prazo;18/01/2021;0,1;27/01/2021;0
1139;Sapato;Seção Masculina;21,2;60;1272;Boleto - à prazo;18/01/2021;0,15;24/02/2021;0
1140;Vestido;Seção Feminina;38,93;33;1284,69;Boleto - à prazo;19/01/2021;0,1;18/02/2021;0
1141;Tênis;Seção Feminina;44,21;82;3625,22;À prazo - Cartão;19/01/2021;0,1;29/01/2021;1
1142;Casaco;Seção Masculina;38,93;20;778,6;Boleto - à prazo;20/01/2021;0,05;23/02/2021;0
1143;Casaco;Seção Masculina;26,1;47;1226,7;Boleto - à prazo;20/01/2021;0,15;25/01/2021;1
1144;Sapato;Seção Feminina;21,2;98;2077,6;À vista - cartão;20/01/2021;0,1;07/03/2021;1
1145;Sapato;Seção Feminina;26,55;57;1513,35;À prazo - Cartão;21/01/2021;0,15;13/03/2021;0
1146;Calça;Seção Masculina;38,93;46;1790,78;Dinheiro - À vista;21/01/2021;0,05;21/01/2021;0
1147;Sapato;Seção Feminina;21,34;98;2091,32;Boleto - à prazo;21/01/2021;0,05;03/03/2021;1
1148;Vestido;Seção Feminina;35,18;68;2392,24;À vista - Dinheiro;22/01/2021;0,1;22/01/2021;1
1149;Calça;Seção Feminina;44,21;58;2564,18;À prazo - Cartão;22/01/2021;0,15;05/02/2021;0
1150;Casaco;Seção Feminina;26,55;97;2575,35;À vista - boleto;23/01/2021;0,1;19/02/2021;0
1151;Sapato;Seção Feminina;44,21;1;44,21;Boleto - à prazo;23/01/2021;0,1;24/02/2021;1
1152;Vestido;Seção Feminina;26,55;94;2495,7;À prazo - Cartão;23/01/2021;0,1;18/03/2021;0
1153;Vestido;Seção Masculina;21;7;147;À vista - cartão;23/01/2021;0,15;02/02/2021;1
1154;Sapato;Seção Feminina;26,1;53;1383,3;À vista - boleto;23/01/2021;0,15;22/03/2021;0
1155;Casaco;Seção Masculina;21,2;79;1674,8;À vista - cartão;24/01/2021;0,1;19/02/2021;1
1156;Vestido;Seção Masculina;21,2;60;1272;À prazo - Cartão;24/01/2021;0,1;04/03/2021;0
1157;Vestido;Seção Feminina;21,34;50;1067;À prazo - Cartão;24/01/2021;0,15;04/02/2021;1
1158;Sapato;Seção Feminina;21,34;96;2048,64;À prazo - Cartão;25/01/2021;0,1;13/03/2021;0
1159;Casaco;Seção Masculina;21;94;1974;À vista - cartão;25/01/2021;0,15;19/02/2021;0
1160;Sapato;Seção Masculina;26,55;99;2628,45;À vista - cartão;25/01/2021;0,1;05/03/2021;0
1161;Casaco;Seção Masculina;21,2;31;657,2;À prazo - Cartão;25/01/2021;0,05;21/02/2021;1
1162;Vestido;Seção Feminina;26,55;54;1433,7;À vista - cartão;25/01/2021;0,15;27/01/2021;0
1163;Calça;Seção Masculina;44,21;25;1105,25;Boleto - à prazo;26/01/2021;0,1;09/03/2021;1
1164;Calça;Seção Feminina;21,2;23;487,6;À vista - boleto;26/01/2021;0,15;10/03/2021;0
1165;Casaco;Seção Masculina;38,93;95;3698,35;À vista - Dinheiro;26/01/2021;0,15;26/01/2021;1
1166;Casaco;Seção Masculina;26,1;1;26,1;Boleto - à prazo;26/01/2021;0,05;09/02/2021;0
1167;Vestido;Seção Feminina;44,21;41;1812,61;Boleto - à prazo;27/01/2021;0,15;12/02/2021;0
1168;Vestido;Seção Feminina;26,55;87;2309,85;Boleto - à prazo;27/01/2021;0,1;10/02/2021;1
1169;Casaco;Seção Masculina;21,34;70;1493,8;À prazo - Cartão;27/01/2021;0,1;01/03/2021;1
1170;Vestido;Seção Masculina;26,55;3;79,65;À prazo - Cartão;28/01/2021;0,15;24/02/2021;1
1171;Casaco;Seção Feminina;26,55;23;610,65;Dinheiro - À vista;28/01/2021;0,1;28/01/2021;1
1172;Casaco;Seção Masculina;21;26;546;À prazo - Cartão;28/01/2021;0,1;06/03/2021;1
1173;Sapato;Seção Masculina;44,21;75;3315,75;À vista - boleto;28/01/2021;0,15;20/03/2021;0
1174;Vestido;Seção Feminina;44,21;60;2652,6;Boleto - à prazo;29/01/2021;0,15;22/03/2021;0
1175;Casaco;Seção Masculina;21,34;91;1941,94;À prazo - Cartão;29/01/2021;0,15;30/03/2021;0
